cusip1,cusip2
"91883","45920"
"53625","16996"
"92572","40372"
"15697","54157"
"49720","46180"
"99037","98861"
"97651","55935"
"44914","29071"
"21259","45666"
"15697","56577"
"74797","59497"
"73119","02688"
"87113","25405"
"40547","83443"
"67127","G8147"
"73754","29644"
"68336","64391"
"45622","52078"
"04660","45159"
"53814","65355"
"24823","30178"
"65413","83567"
"06030","89276"
"67144","22281"
"20591","70225"
"63105","29426"
"92711","59145"
"45194","87137"
"23804","70958"
"53620","53950"
"14148","63946"
"45578","98493"
"94117","76622"
"88033","51569"
"68371","98128"
"02142","53609"
"45771","81585"
"56271","04126"
"00408","98891"
"44145","12429"
"80409","71271"
"14838","45789"
"46195","55921"
"80306","05329"
"97662","46166"
"46678","94768"
"88729","10691"
"89782","26788"
"76771","81379"
"70318","46165"
"45159","76132"
"59106","98375"
"82617","59491"
"18062","23519"
"27885","86879"
"97742","36097"
"24484","94768"
"46165","45157"
"25612","87072"
"46098","35993"
"40480","65327"
"45727","80409"
"20992","39892"
"59532","83450"
"73325","82617"
"63053","67644"
"94362","68412"
"56781","17737"
"81570","54140"
"49302","36134"
"77311","81824"
"42361","63255"
"36957","75848"
"88033","G8147"
"89047","20491"
"78548","63946"
"66993","73935"
"23807","58179"
"81132","21092"
"46257","83530"
"67127","64176"
"44544","00418"
"27885","90911"
"45771","59835"
"71743","00697"
"46206","80409"
"85826","16712"
"25389","12780"
"27352","57067"
"55182","87595"
"98927","25066"
"60655","74205"
"88560","51655"
"15697","06711"
"87609","00456"
"87609","55488"
"00456","55488"
"59361","14963"
"73325","17040"
"20069","80409"
"82974","46114"
"Y6618","74343"
"94768","65355"
"37920","45564"
"54344","46257"
"83168","70017"
"84865","83529"
"7974","31857"
"94768","82617"
"88632","82617"
"49948","33762"
"98449","03876"
"99029","24827"
"64110","87150"
"29426","22969"
"24364","63946"
"35616","92799"
"94848","59491"
"25612","26782"
"83520","00478"
"25608","05753"
"89470","26978"
"80409","30048"
"70557","82617"
"26977","29318"
"86161","82317"
"14457","89336"
"89364","00474"
"46687","48891"
"04384","09568"
"25608","36957"
"64120","15697"
"93018","38115"
"30225","72940"
"34971","22945"
"34971","34985"
"22945","34985"
"04523","72708"
"87528","29104"
"71271","58940"
"56501","19244"
"24689","78682"
"65381","15233"
"96519","44544"
"55610","22266"
"28566","M8743"
"80591","17260"
"80591","56759"
"17260","56759"
"92855","22659"
"05781","55488"
"25433","55461"
"67144","45738"
"49636","40111"
"49636","40112"
"40111","40112"
"41618","58756"
"41618","80380"
"58756","80380"
"76083","44888"
"42186","60643"
"83591","45735"
"64120","00011"
"17185","89135"
"52769","21616"
"45352","46678"
"44946","73930"
"41751","33778"
"44914","04289"
"65519","48891"
"71271","87113"
"05306","57695"
"55921","87113"
"87455","63060"
"20525","30728"
"54140","47087"
"56070","39789"
"87886","64111"
"16686","96792"
"87180","89188"
"82254","07663"
"89471","58576"
"45225","68364"
"68828","75128"
"M4709","05191"
"35994","76178"
"57067","00698"
"98493","36099"
"20491","45148"
"91792","55347"
"21723","22168"
"58573","37977"
"75655","68416"
"29791","20607"
"88984","48407"
"22902","88089"
"74913","46194"
"94848","14087"
"53814","94768"
"38212","59491"
"46114","65279"
"99015","58573"
"28163","20524"
"20491","80409"
"50369","77854"
"45161","58397"
"54546","00962"
"30363","13792"
"36828","29435"
"59140","78621"
"39808","47024"
"59532","92981"
"37985","77932"
"37985","66967"
"77932","66967"
"81819","26782"
"25364","59491"
"76139","68365"
"87491","98138"
"29446","69548"
"30303","76132"
"92240","48406"
"00962","38892"
"28639","00699"
"23507","22676"
"03274","90002"
"90430","75416"
"51220","45139"
"62861","86695"
"30225","36828"
"78387","84763"
"52769","89698"
"84925","77818"
"59491","83527"
"55420","05772"
"02263","51813"
"04385","78619"
"85491","83469"
"85491","03422"
"83469","03422"
"45960","98401"
"45665","71700"
"45976","68365"
"56781","00665"
"74710","00522"
"65334","46024"
"59491","83195"
"29437","76145"
"26977","12825"
"71271","00846"
"60746","45144"
"28163","48889"
"54949","03692"
"84759","87660"
"48338","56501"
"51655","40513"
"46060","64093"
"39943","82679"
"97662","09373"
"28666","82617"
"34908","30153"
"46068","26780"
"92529","57654"
"92343","82617"
"45771","98411"
"25260","72908"
"50556","13214"
"45666","66675"
"05740","69450"
"05740","83485"
"69450","83485"
"50556","87809"
"50347","87139"
"88512","38528"
"80409","58757"
"37975","37979"
"23754","75190"
"23507","87482"
"81570","82617"
"60801","83526"
"75068","74834"
"83520","69535"
"26787","63895"
"28035","31749"
"29841","92510"
"29072","74131"
"83316","74799"
"69909","59140"
"92510","92183"
"00343","83520"
"26213","60268"
"99028","45287"
"99849","87113"
"81788","20536"
"04301","12435"
"50347","51569"
"25608","12637"
"80306","29463"
"59266","29502"
"76145","00419"
"87376","60340"
"37193","45920"
"46682","84772"
"45737","54930"
"20536","55990"
"16988","45236"
"25608","49922"
"80322","89156"
"80322","26163"
"89156","26163"
"98443","05761"
"23793","40340"
"55921","82617"
"53215","06710"
"46151","84833"
"93016","09104"
"23933","87387"
"00962","81708"
"39943","23755"
"29879","97729"
"48193","98446"
"23447","11133"
"81920","50347"
"23754","30686"
"83520","02154"
"75097","01441"
"81788","40425"
"88632","79466"
"83402","90935"
"37968","83421"
"54140","74205"
"03231","05353"
"86849","04321"
"44544","80409"
"05619","42748"
"28443","40540"
"88632","04350"
"45666","55614"
"83215","35874"
"69271","88632"
"68564","61960"
"11162","81986"
"78721","91686"
"00419","70557"
"45657","75765"
"45657","45619"
"75765","45619"
"64093","M2246"
"84764","59491"
"88033","88560"
"44544","75727"
"80006","81215"
"88326","87437"
"63946","31561"
"83520","92570"
"74123","58572"
"20593","55614"
"78508","03560"
"60714","70017"
"85756","23930"
"80006","92570"
"83568","67127"
"59486","82994"
"45246","45811"
"65383","18681"
"82840","46023"
"88632","29461"
"81088","25615"
"88985","68389"
"65510","40967"
"82316","26786"
"59491","07759"
"52461","64172"
"45614","91742"
"57050","94772"
"59491","05383"
"78670","49957"
"88985","68389"
"54140","74020"
"39943","45139"
"56275","46612"
"87162","89697"
"82617","69271"
"44873","62913"
"90304","45614"
"53565","59266"
"20069","81570"
"60267","93016"
"64929","25499"
"68272","80305"
"17148","74993"
"30148","D1668"
"43358","45556"
"99037","45920"
"98861","45920"
"84925","04269"
"20334","45613"
"57088","06645"
"78621","14073"
"68371","83531"
"25541","97715"
"45662","89227"
"82354","52475"
"45681","80870"
"51569","51569"
"75605","85521"
"86826","40110"
"12429","44491"
"82617","53983"
"59491","63764"
"72943","85388"
"82315","43845"
"82315","43845"
"75605","69664"
"01001","88546"
"17040","45963"
"86650","04967"
"65413","12416"
"83567","12416"
"65413","47126"
"83567","47126"
"65413","50313"
"83567","50313"
"65413","57687"
"83567","57687"
"65413","62905"
"83567","62905"
"92670","30228"
"59491","79604"
"11164","65679"
"76932","83445"
"55921","86211"
"69542","74971"
"49566","16956"
"40381","04268"
"59491","05749"
"80305","06118"
"00143","63026"
"41269","09140"
"02053","81132"
"74306","29319"
"59491","72581"
"74464","05236"
"75611","87294"
"45276","84936"
"81169","68227"
"81169","68227"
"73325","82995"
"53260","23792"
"50396","35959"
"28225","43357"
"85920","52530"
"28551","47012"
"82705","17252"
"98927","04563"
"76932","87938"
"75605","62461"
"59491","62461"
"36832","89492"
"05781","61744"
"12837","48571"
"46114","14073"
"23252","44491"
"64099","46489"
"05781","66967"
"59491","25468"
"02009","88237"
"97662","50013"
"46166","50013"
"84853","9044X"
"88033","00890"
"58576","88415"
"71271","45920"
"12831","31986"
"45051","87513"
"72915","29437"
"74993","70934"
"21084","21083"
"82705","06075"
"05318","45932"
"20856","76097"
"56071","74709"
"78548","90001"
"83526","46195"
"96793","62461"
"05237","88064"
"56101","01000"
"45133","80044"
"60728","69670"
"83304","13904"
"00697","23156"
"23516","88064"
"64072","12429"
"41021","22028"
"55610","25860"
"81584","00209"
"74228","46164"
"07763","45558"
"46684","62962"
"57067","93021"
"68389","41174"
"68389","86681"
"87132","67849"
"80182","49689"
"59491","74971"
"88801","87264"
"59491","45920"
"45157","11253"
"16913","7903"
"59491","46114"
"74228","74821"
"42342","48412"
"48189","72753"
"88875","73642"
"45157","65599"
"48371","9045H"
"03274","23515"
"42342","11131"
"46179","29343"
"75605","1941"
"42342","21250"
"76772","16972"
"00962","74616"
"28142","69500"
"83178","36762"
"88801","80862"
"38212","69715"
"45771","45244"
"55610","44921"
"18490","45920"
"71271","74971"
"46612","97314"
"71915","75045"
"45614","86681"
"74803","25685"
"98399","92332"
"85227","87288"
"55221","904JV"
"55221","37448"
"25471","47012"
"20491","35981"
"32097","56052"
"91340","27976"
"29384","86681"
"00405","92342"
"67840","55485"
"23933","93690"
"34380","88308"
"45681","80398"
"88740","23515"
"94884","04638"
"94761","24712"
"15920","60682"
"M8215","56772"
"30225","63935"
"52602","90921"
"20491","48411"
"17040","45920"
"89220","68409"
"80305","42823"
"75665","85388"
"28244","12429"
"89062","43284"
"88715","92799"
"23487","9048C"
"26977","26811"
"29318","26811"
"78000","98608"
"45052","00818"
"87845","49513"
"03864","46436"
"80313","65390"
"58500","71913"
"59140","90543"
"51220","23794"
"17040","44848"
"57685","80599"
"78401","23515"
"34971","23790"
"22945","23790"
"34985","23790"
"57050","54982"
"57050","02206"
"70467","30170"
"55466","31316"
"87386","98414"
"68336","12786"
"99849","45920"
"12738","91087"
"76128","24709"
"07763","36196"
"74498","86274"
"15104","88061"
"49636","40111"
"40111","40111"
"40112","40111"
"49636","83741"
"40111","83741"
"40112","83741"
"28609","89365"
"63896","37966"
"02148","90921"
"41618","05682"
"58756","05682"
"80380","05682"
"41618","25375"
"58756","25375"
"80380","25375"
"00724","35960"
"02148","80862"
"60752","45561"
"83591","74500"
"83591","83076"
"83591","71544"
"45735","74500"
"45735","83076"
"45735","71544"
"23295","73634"
"23513","02277"
"58954","30366"
"46118","98992"
"44946","89214"
"73930","89214"
"00011","26864"
"49566","16945"
"80609","83880"
"57694","67849"
"04523","53581"
"68225","98920"
"05699","69793"
"05313","91233"
"68400","79604"
"84925","67039"
"86849","87385"
"84909","92367"
"89471","12606"
"58576","12606"
"46285","26977"
"59491","00209"
"80305","34537"
"80305","14912"
"84925","00846"
"67440","26167"
"9044V","47022"
"48949","25191"
"35062","27746"
"46173","48418"
"74387","45920"
"04523","64173"
"89697","52173"
"23472","90347"
"55347","45920"
"20337","98395"
"98370","43357"
"19244","36099"
"57696","39226"
"23512","45428"
"45137","25364"
"73935","74790"
"74228","10217"
"05437","25815"
"52744","20585"
"84925","37906"
"31163","75421"
"07763","75421"
"12524","86274"
"78485","89342"
"25191","28119"
"97467","27967"
"45246","67104"
"28059","21658"
"20491","64130"
"80409","64130"
"90056","74787"
"90056","87827"
"23805","26483"
"87609","27968"
"85227","83755"
"36274","63917"
"11162","52475"
"36274","60435"
"37985","41913"
"77932","41913"
"66967","41913"
"92207","16310"
"18886","65390"
"75139","55308"
"59491","52475"
"98445","45920"
"44914","36916"
"35188","60682"
"35188","98129"
"46687","90524"
"94362","24712"
"64082","74932"
"63083","45920"
"98942","43357"
"98942","89233"
"98942","60677"
"98942","9044J"
"23511","65593"
"82705","90936"
"59491","Y7998"
"26942","88620"
"87244","83574"
"69941","69013"
"06646","40049"
"37265","08875"
"46257","38656"
"23101","44864"
"37265","98920"
"44051","15628"
"75380","13251"
"47775","49803"
"47775","16995"
"50339","37991"
"92992","21250"
"28264","23251"
"57067","2920"
"82705","43357"
"48213","23511"
"02154","51654"
"17737","88041"
"44970","30090"
"45347","70223"
"59491","82315"
"59491","92722"
"98927","35981"
"43718","86856"
"00399","26239"
"77818","2824"
"30361","02310"
"19192","44843"
"16288","44843"
"74637","44843"
"63049","44843"
"59491","92367"
"28243","25612"
"75720","65576"
"20593","84316"
"81584","85206"
"85491","13961"
"83469","13961"
"03422","13961"
"20491","17248"
"05313","92830"
"23487","45814"
"46684","43357"
"46684","46571"
"46684","904JV"
"45145","98176"
"52902","89976"
"98922","43910"
"86324","45919"
"87181","45920"
"49926","39944"
"86684","74206"
"04692","74790"
"47096","44921"
"96801","43849"
"68371","45920"
"73325","53983"
"68371","45920"
"04362","85524"
"68389","24712"
"20334","63055"
"22659","48949"
"77636","16968"
"46120","82617"
"89782","46622"
"73325","76097"
"73124","29319"
"20593","48730"
"M9754","26901"
"75605","83569"
"45811","92335"
"52769","79604"
"58758","83408"
"44873","00073"
"23510","64172"
"02263","36143"
"12787","07720"
"48598","67612"
"26864","88059"
"20670","63935"
"45245","80549"
"71366","45920"
"17239","36854"
"72699","12283"
"56080","45920"
"54567","90210"
"64072","85300"
"41021","20846"
"89689","92826"
"20491","29585"
"00992","52465"
"00404","87386"
"53012","79604"
"09771","47191"
"42685","73891"
"23754","45920"
"75190","45920"
"92800","86681"
"59491","82004"
"74083","45920"
