prim_cusip,innet,ln_sales,name
"63920",1,6.550181,"Navarre Corp"
"59490",1,6.522024,"MICROS Systems Inc"
"45670",1,6.521906,"Infotech Enterprises Ltd"
"25464",1,6.496348,"Walt Disney Co Italia Spa"
"16282",1,6.491535,"Checkfree Corp-Checkfree"
"69663",1,6.479202,"Palm Palm Technology"
"78411",1,6.457135,"SEI Investments Co"
"85920",1,6.436266,"Sterling Commerce Inc"
"64082",1,6.433477,"NETSEC Inc"
"33931",1,6.430556,"Flex Co Ltd"
"45919",1,6.425477,"At Home Corp"
"57685",1,6.411661,""
"74913",1,6.401881,"Quotemedia Inc"
"20337",1,6.396041,"CommVault Systems Inc"
"74727",1,6.376212,"QSC AG"
"46093",1,6.337268,"IntraNet Solutions Inc"
"80637",1,6.301536,"ScheduALL"
"20582",1,6.277822,"Comtech Group Inc"
"89190",1,6.269145,"Total System Services Inc"
"90492",1,6.266927,"Unigraphics Solutions Inc"
"75657",1,6.261522,"Red Hat Inc"
"45666",1,6.217988,"Informatica Corp"
"45709",1,6.215394,"Infocity Inc"
"61741",1,6.204479,"InvestorWeb Ltd"
"85954",1,6.19436,"Sterling Software Inc"
"72003",1,6.181118,"Picture Talk"
"78410",1,6.17314,"SED International Holdings Inc"
"45173",1,6.167762,"Ikanos Communications Inc"
"28608",1,6.15167,"Electronics for Imaging Inc"
"29221",1,6.126116,"Epiphan Systems Inc"
"73936",1,6.105735,"POWERSITES.NETwork"
"17148",1,6.087209,"Chroma Medical Systems Inc"
"29363",1,6.071938,"Enterasys Networks Inc"
"4325",1,6.068366,"Acclaim Entertainment Inc"
"87183",1,6.067267,"System Software Associates Inc"
"83408",1,6.063904,"Sohu.com Inc"
"24823",1,6.051991,"Dendrite International Inc"
"29100",1,6.047053,"Emergis Inc"
"31686",1,6.047001,"FileNet Corp"
"11141",1,6.028076,"BroadVision Inc"
"40442",1,6.027775,"HZI Research Center Inc"
"20069",1,5.99843,"Commerce One Inc"
"42207",1,5.973863,"Health e Connex"
"92849",1,5.953615,"Vitria Technology Inc"
"46032",1,5.939979,"International Software Designs"
"67082",1,5.935587,"OA Group Inc"
"97659",1,5.921884,"Wipro Technologies Inc"
"G8147",1,5.915088,"SINA Corp"
"92673",1,5.907161,"Vignette Corp"
"77513",1,5.902639,"PerfectSoftware"
"23953",1,5.896348,"Day Software Holding AG"
"59497",1,5.889966,"Microsoft Korea"
"55347",1,5.879105,"MRO Software Inc"
"91819",1,5.874051,"VA Linux Systems Inc"
"85568",1,5.871999,"Starwave Corp"
