cusip1,cusip2
"69511","16989"
"16974","29417"
"69338","74586"
"71743","31701"
"65436","87845"
"65436","44895"
"87845","44895"
"24990","05485"
"00833","91860"
"46600","28243"
"23807","87388"
"54573","68389"
"44415","45258"
"21866","93375"
"25402","45114"
"09007","04033"
"13376","86361"
"26937","83234"
"04289","60715"
"63031","00925"
"15920","23258"
"12428","20512"
"71532","68367"
"74588","87353"
"55082","31182"
"28007","68410"
"58479","87907"
"58561","83307"
"59491","53579"
"20347","29453"
"83567","90436"
"17040","11141"
"56501","76663"
"02263","35107"
"45072","55082"
"83584","46673"
"01382","67131"
"60717","30186"
"92553","64110"
"45053","74850"
"20491","16988"
"20536","23754"
"05536","26788"
"68389","36832"
"88788","83322"
"59491","73750"
"00522","18270"
"48213","00780"
"20491","20538"
"04289","61980"
"30185","Y6618"
"30185","85491"
"30185","45726"
"30185","05346"
"Y6618","85491"
"Y6618","45726"
"Y6618","05346"
"85491","45726"
"85491","05346"
"45726","05346"
"23472","56058"
"11219","16919"
"11219","47974"
"16919","47974"
"75051","45862"
"49926","45695"
"68389","04966"
"23437","05724"
"64084","23481"
"15920","87352"
"78485","48523"
"40419","98912"
"83421","44871"
"92283","04321"
"25405","04504"
"69482","84925"
"59491","94401"
"68268","92204"
"05723","98402"
"94737","02339"
"44593","37974"
"80305","85754"
"00689","25404"
"88660","29152"
"90346","58391"
"25494","86850"
"72940","45099"
"12048","14158"
"45705","74786"
"74428","94767"
"46048","58479"
"25063","26943"
"05329","49968"
"61741","75637"
"23699","45715"
"56037","75601"
"12736","71966"
"74879","97742"
"89665","20491"
"23437","87157"
"16923","69511"
"56290","01677"
"82790","74850"
"71271","00328"
"30148","85730"
"68371","89057"
"83504","64094"
"83504","61974"
"64094","61974"
"90148","53012"
"24570","5125"
"70969","14143"
"92673","16969"
"73325","11141"
"44873","98576"
"38870","26940"
"82790","00508"
"35904","25404"
"89594","64107"
"29013","73093"
"00815","39119"
"29330","84623"
"59487","43358"
"63821","64964"
"911","78390"
"23428","45211"
"92650","08890"
"98406","57768"
"45940","68389"
"87648","87824"
"83546","46114"
"45920","68389"
"45920","91221"
"68389","91221"
"55359","45819"
"64126","58540"
"83439","96792"
"75657","18917"
"64079","92386"
"10845","98371"
"70430","82088"
"39137","39150"
"58560","30185"
"51840","29103"
"00724","75605"
"55916","74471"
"64120","74834"
"95072","82914"
"23788","04960"
"44873","92386"
"50297","26804"
"11141","20257"
"11141","68617"
"20257","68617"
"02364","63649"
"45578","30091"
"68617","75605"
"28604","59491"
"93375","45053"
"68340","74133"
"29014","59491"
"05329","62947"
"64110","04289"
"87147","23480"
"22655","89424"
"79626","09609"
"79626","05449"
"34543","23235"
"74345","74339"
"15663","33758"
"90521","68367"
"71370","45948"
"86572","55236"
"10810","05719"
"74879","99015"
"45964","45717"
"20491","87112"
"75844","91809"
"23953","04382"
"23953","68280"
"78127","75603"
"23953","14060"
"26860","86779"
"68389","69917"
"78581","60719"
"46113","29418"
"78427","30185"
"20069","80305"
"20069","59491"
"80305","59491"
"88632","48377"
"45096","45030"
"76755","64121"
"04523","48360"
"92239","92283"
"02155","75844"
"55420","20793"
"09623","65331"
"72816","75658"
"45055","28428"
"38353","98936"
"11141","94768"
"23790","64160"
"83474","38170"
"88632","98437"
"44415","45665"
"64114","74163"
"88632","46575"
"17239","80352"
"45677","86572"
"46663","38353"
"00467","54140"
"60266","55082"
"44873","77579"
"78567","38023"
"64107","94866"
"87113","46438"
"85920","20069"
"80452","90911"
"11141","88632"
"20491","71890"
"98438","15108"
"67445","74785"
"28566","81719"
"12720","45598"
"28566","82617"
"51491","44538"
"69936","33792"
"69936","75055"
"33792","75055"
"92540","92650"
"58504","26808"
"74347","83068"
"74766","78603"
"00724","46114"
"90299","47024"
"28166","58954"
"88553","41903"
"13970","78667"
"46492","60463"
"15691","74588"
"58411","30186"
"60747","60459"
"92570","46114"
"78493","91935"
"71426","27933"
"98487","08989"
"45735","56510"
"87113","27896"
"74776","58749"
"45839","75657"
"27352","94768"
"87160","86863"
"98148","31839"
"58758","88680"
"03665","93414"
"20491","59491"
"04523","98437"
"00724","26937"
"35843","83234"
"5125","68408"
"64086","75640"
"92532","62857"
"76663","25404"
"74915","75720"
"67000","25376"
"06110","62886"
"86558","43358"
"86558","47119"
"43358","47119"
"44438","04225"
"72594","M2559"
"72706","23477"
"44892","03354"
"22901","92570"
"91860","59491"
"81141","97659"
"69663","89701"
"69663","68408"
"89701","68408"
"43358","26871"
"60478","33785"
"23245","59518"
"28565","89030"
"69882","04618"
"74849","30152"
"45707","25376"
"21887","11141"
"09623","55394"
"90519","49972"
"23249","83503"
"88100","59100"
"67105","46670"
"68248","19424"
"12989","44355"
"46567","74420"
"88080","26805"
"88100","59100"
"06035","64718"
"01677","23207"
"45678","59491"
"75976","82840"
"44914","90289"
"46114","02155"
"28203","91915"
"69903","56079"
"68916","83156"
"68165","74849"
"68397","98420"
"74827","94763"
"45705","45099"
"11141","00467"
"11141","46684"
"00467","46684"
"28411","59491"
"M4145","82931"
"76122","20670"
"68340","88657"
"19244","89580"
"74505","28140"
"04033","88554"
"04033","60850"
"88554","60850"
"86271","08979"
"47017","45413"
"82840","87634"
"18987","25508"
"83570","78567"
"91016","48377"
"36263","44885"
"74336","36827"
"98595","48071"
"58985","92678"
"46088","59487"
"61537","76771"
"00252","45706"
"92280","70137"
"35104","74968"
"48593","72583"
"46119","53565"
"55386","71743"
"50309","75191"
"89318","44592"
"25263","51461"
"75191","50309"
"46119","61180"
"75752","84847"
"74849","92570"
"50277","74717"
"78411","80409"
"80113","06110"
"17239","64154"
"23191","59850"
"30049","45678"
"77551","31829"
"59491","62853"
"60253","88010"
"11219","90186"
"29382","27897"
"97537","06978"
"00733","87196"
"72700","45347"
"11776","07367"
"13750","62536"
"64154","64149"
"87113","46087"
"45053","46059"
"45053","44886"
"45053","01628"
"46059","44886"
"46059","01628"
"44886","01628"
"87113","66751"
"04033","60267"
"80452","78551"
"45672","84588"
"G3017","79622"
"00846","98969"
"25399","25891"
"00427","98189"
"N7716","37921"
"29430","67445"
"55365","69457"
"72708","78364"
"83446","88077"
"98942","02089"
"98942","48071"
"02089","48071"
"55411","04033"
"55411","87667"
"04033","87667"
"59491","60756"
"04033","26902"
"18270","44885"
"23933","63016"
"04033","42824"
"40411","44888"
"42824","04033"
"92354","23239"
"28566","46684"
"89486","65413"
"89486","46059"
"65413","46059"
"45056","83095"
"M2508","76975"
"98563","26838"
"48367","68560"
"23754","58720"
"82624","45026"
"62913","89179"
"64151","04769"
"64151","26934"
"04769","26934"
"44921","00730"
"00467","48213"
"05691","73325"
"27352","04033"
"27352","82617"
"04033","82617"
"20513","45952"
"24990","92178"
"62841","46083"
"36981","63621"
"75606","44104"
"75606","00177"
"44104","00177"
"46120","89559"
"81015","64086"
"76870","83188"
"54573","59491"
"45707","45709"
"83972","87954"
"45598","92967"
"98370","04960"
"69437","80305"
"00928","20752"
"54572","89413"
"80305","20069"
"00519","90147"
