cusip1,cusip2
"46058","03206"
"74703","25519"
"13106","83641"
"52769","59491"
"64115","45958"
"11443","04665"
"74481","38170"
"64050","24484"
"57816","00971"
"77513","44823"
"20536","35107"
"92846","58470"
"12906","83421"
"75818","81383"
"15064","03466"
"59491","23754"
"59491","45678"
"67172","40131"
"55445","09201"
"46261","82026"
"55347","55268"
"03730","53592"
"74698","61911"
"94768","36140"
"68888","91729"
"26766","84953"
"08408","57389"
"23792","69893"
"46589","93082"
"98132","09579"
"64050","05162"
"92342","68429"
"61911","75379"
"85856","38005"
"82989","09609"
"05384","74859"
"91915","08263"
"46059","83402"
"78750","82989"
"45744","42826"
"78752","91024"
"29341","45805"
"M9754","26958"
"25619","28906"
"86775","98385"
"64174","49742"
"75611","78465"
"13933","64050"
"23531","52456"
"84840","55347"
"64115","05404"
"30303","09977"
"71271","45920"
"35188","94768"
"71271","46612"
"59509","45681"
"04048","37197"
"45849","74219"
"00597","59315"
"80641","54014"
"74700","55209"
"58457","99030"
"2458","67169"
"38316","87113"
"88160","67428"
"45817","82989"
"14189","17737"
"98975","09592"
"46589","98974"
"63936","83180"
"85912","11778"
"29599","81065"
"14071","29599"
"38870","63095"
"84925","57679"
"37193","64392"
"29234","29648"
"63774","59140"
"86341","20783"
"63095","55029"
"86579","61635"
"93076","14112"
"92763","00673"
"68197","00418"
"67065","29363"
"20671","29284"
"23526","87682"
"86066","25356"
"71737","18881"
"67624","40582"
"01988","58396"
"80541","97662"
"37245","87659"
"74537","68820"
"44840","49927"
"63095","49211"
"56585","22580"
"21894","92780"
"92307","36238"
"02672","17019"
"48320","20563"
"29157","64196"
"38870","81841"
"93076","73325"
"44913","82989"
"25422","36340"
"25536","12895"
"78745","11519"
"64111","36886"
"64111","74195"
"88570","24364"
"84931","23548"
"46589","92197"
"70327","83064"
"62008","59608"
"22436","00584"
"98974","64939"
"63074","57694"
"M8215","N3537"
"42188","31999"
"01041","89713"
"77513","45321"
"45246","15701"
"31201","21876"
"29850","45052"
"53619","87807"
"42188","36067"
"37919","58475"
"46114","50020"
"46114","05818"
"50020","05818"
"87656","46288"
"86879","25615"
"09412","19235"
"60850","83421"
"74373","15086"
"73286","62580"
"45920","70557"
"00596","75195"
"14168","75599"
"82891","22014"
"55268","04648"
