cusip1,cusip2
"55472","68371"
"09060","18280"
"31182","45920"
"92027","89278"
"98449","76006"
"04018","09739"
"29433","92301"
"15697","56040"
"27885","59491"
"87793","52747"
"96774","01047"
"69558","45952"
"53637","76657"
"37998","91798"
"55029","28417"
"64115","94768"
"58500","87804"
"54161","22057"
"90244","73094"
"48592","75872"
"57670","23250"
"72940","M1563"
"00386","00432"
"70327","37998"
"36122","36100"
"60658","44117"
"45245","81086"
"45660","83443"
"83443","91344"
"15697","34971"
"86635","88041"
"46694","68254"
"57685","83310"
"94772","45920"
"86161","00571"
"05394","95086"
"21781","69326"
"00925","74745"
"31686","64120"
"41029","60728"
"61951","26992"
"34959","01044"
"15691","09609"
"19244","94732"
"89788","74523"
"81749","83566"
"74521","00570"
"20352","06877"
"68371","10917"
"87180","09266"
"92992","88067"
"11141","31436"
"04314","23538"
"98856","99050"
"34387","64063"
"79581","87488"
"14062","04134"
"90327","20536"
"26881","20602"
"03157","92359"
"36491","59476"
"46538","61951"
"46119","90219"
"02053","41269"
"35933","87471"
"81108","02142"
"29215","96774"
"92785","13091"
"97547","58439"
"97547","45221"
"58439","45221"
"25234","18683"
"87793","29109"
"45327","90320"
"14838","64063"
"80305","87113"
"44833","69911"
"881","46235"
"62857","28934"
"68200","92796"
"83627","64082"
"29222","87916"
"02053","89196"
"52769","05384"
"49929","00565"
"49929","96255"
"00565","96255"
"67079","83316"
"88306","89180"
"59106","20992"
"88306","04012"
"02053","88306"
"75649","55504"
"89081","86558"
"88985","09863"
"97662","59139"
"48421","02342"
"12328","48431"
"73325","25615"
"73325","72940"
"25615","72940"
"46206","46694"
"12328","56510"
"50385","79466"
"45208","12328"
"60478","61180"
"81567","52746"
"81393","88121"
"25591","87487"
"27352","46212"
"68371","27907"
"27976","59491"
"38212","74520"
"17261","12417"
"53619","24786"
"35998","50257"
"45285","12859"
"45660","85578"
"22673","46114"
"28906","69478"
"38259","59491"
"01912","43389"
"58583","58415"
"70388","70958"
"55916","93052"
"95756","05316"
"74267","20721"
"98310","42262"
"17957","72914"
"68286","89195"
"71271","57698"
"20337","71418"
"64063","70267"
"81393","37984"
"45819","45920"
"33792","92633"
"83311","04384"
"34524","45920"
"04353","75651"
"03788","73325"
"70208","74856"
"23212","37914"
"87803","11135"
"08988","79466"
"98310","51844"
"53944","81708"
"23764","89426"
"00656","08870"
"37984","35981"
"34470","42991"
"25409","82893"
"78387","88115"
"98856","90551"
"89338","00565"
"75095","30173"
"55462","4930"
"98128","50105"
"72409","04967"
"92906","75775"
"55462","88120"
"04523","59491"
"59507","81692"
"33773","76215"
"03274","57768"
"26769","94773"
"76017","36491"
"25380","92367"
"15709","37985"
"74205","M4709"
"19244","22945"
"04651","60728"
"25249","23532"
"22100","45660"
"45692","26769"
"17737","80305"
"72940","19244"
"71964","45161"
"72940","58422"
"38095","45971"
"57801","98417"
"26881","83197"
"00395","00572"
"59106","82649"
"98310","48671"
"01864","37193"
"60748","88115"
"20754","45229"
"12328","60253"
"87112","M2559"
"48189","64121"
"84925","23958"
"41021","04677"
"13123","45920"
"59491","10948"
"19244","78465"
"92670","80786"
"91909","87437"
"20536","87076"
"52769","59491"
"70467","25217"
"23212","27897"
"62857","39116"
"12430","59497"
"89190","68325"
"10464","50399"
"98909","25212"
"92633","05798"
"93048","59491"
"30176","60735"
"60643","87192"
"12609","84925"
"68423","12738"
"06110","75655"
"97314","87793"
"71919","91882"
"23511","27933"
"62902","45715"
"23509","28667"
