cusip1,cusip2
"98148","25388"
"30090","77512"
"14887","80370"
"29440","86355"
"74771","67442"
"29440","98155"
"29440","45660"
"29440","28203"
"45868","44992"
"98370","23612"
"80305","51491"
"45749","81221"
"21868","53801"
"26871","80639"
"30225","20069"
"59491","18270"
"74771","26885"
"41168","59491"
"71271","83434"
"28935","92673"
"79990","45727"
"10138","71271"
"98891","72706"
"83205","53578"
"83180","63934"
"74339","55359"
"83402","74437"
"64132","55237"
"36479","36977"
"12738","G4776"
"22100","74331"
"68621","69917"
"08860","88729"
"82617","78366"
"20536","16714"
"68389","20536"
"46262","05643"
"11776","46119"
"71704","64111"
"60472","67000"
"25385","07468"
"33792","19051"
"93418","20498"
"00260","26885"
"58733","58940"
"88553","87113"
"92343","M2246"
"42199","81948"
"30090","26830"
"92343","45244"
"92343","31990"
"45244","31990"
"55383","89671"
"70320","62913"
"83171","67105"
"83171","50020"
"83171","48347"
"83171","89242"
"67105","50020"
"67105","48347"
"67105","89242"
"50020","48347"
"50020","89242"
"48347","89242"
"43462","45695"
"98148","20066"
"12719","05459"
"02073","45678"
"85920","39687"
"92841","72764"
"46600","83171"
"98431","59491"
"89058","91729"
"98148","46055"
"14887","87660"
"86579","73934"
"45898","81986"
"90465","20563"
"50740","59491"
"64093","55481"
"65445","41455"
"40397","00145"
"17239","68559"
"45677","80305"
"00143","28059"
"89486","45666"
"89871","45838"
"29384","88553"
"55480","75190"
"34954","64431"
"86309","83186"
"57905","29095"
"85491","46068"
"64114","69431"
"25253","35947"
"37954","92039"
"78462","58733"
"71915","60671"
"46206","23754"
"46655","87977"
"04289","45677"
"64187","52200"
"12737","35922"
"15236","64137"
"23920","44959"
"58549","16106"
"20337","64120"
"75605","37247"
"62932","58720"
"00088","30152"
"11219","59510"
"41805","09579"
"74625","74730"
"58984","26839"
"36875","68223"
"69357","64114"
"33785","81948"
"29336","45920"
"00425","49062"
"80515","59139"
"70962","23248"
"47091","45789"
"52465","20491"
"25399","76762"
"78389","28566"
"30090","43627"
"52200","56614"
"26780","45694"
"25615","72764"
"34634","23421"
"75606","80305"
"41067","00426"
"11141","55610"
"45766","68389"
"64114","91533"
"64114","62008"
"91533","62008"
"87183","47087"
"42236","18278"
"50309","82005"
"20491","45694"
"82919","N0804"
"59168","02364"
"91736","46819"
"59491","45839"
"45694","81576"
"26874","20593"
"64114","84893"
"71366","81717"
"02143","59491"
"40425","68371"
"78367","68400"
"15678","82088"
"12598","83469"
"68389","92343"
"37984","60459"
"10950","45919"
"02686","88788"
"74588","48139"
"75954","68208"
"68389","87150"
"80305","59491"
"24823","57057"
"66908","59491"
"68370","45079"
"15680","71539"
"82617","13910"
"98433","30090"
"98433","55081"
"30090","55081"
"25383","40172"
"59101","45021"
"68370","29241"
"40425","89190"
"92239","98486"
"52465","20337"
"23252","53015"
"85920","15691"
"78116","86386"
"78116","11130"
"9044V","74082"
"57785","80589"
"53245","89014"
"55939","60505"
"68389","97023"
"10637","48588"
"87998","50241"
"70962","78418"
"68232","74961"
"21872","23258"
"54140","89014"
"81427","92536"
"85507","15683"
"G6754","83085"
"54568","45043"
"80305","56377"
"02364","92848"
"41938","55590"
"75605","86561"
"20069","40052"
"04033","87898"
"21868","Y1775"
"83441","48258"
"98433","48258"
"02364","17273"
"53012","37012"
"45773","74974"
"92849","24713"
"98891","89406"
"22129","92249"
"04986","21875"
"55288","35981"
"26912","20455"
"52737","42823"
"67572","87987"
"12738","81016"
"19983","16418"
"88553","90921"
"23792","74975"
"73110","92810"
"98891","07714"
"55288","78484"
"05459","25375"
"20491","00427"
"64095","26861"
"64095","15919"
"73118","68273"
"77830","59830"
"86742","54448"
"55288","54141"
"00436","13904"
"83742","13904"
"00460","63892"
"59491","29482"
"59491","00207"
"68338","20714"
"88872","12416"
"88872","45920"
"74766","86681"
"80305","45920"
"54571","89406"
"71532","86681"
"14743","57653"
"71532","35981"
"80890","1957"
"10138","74439"
"74776","12990"
"65400","44114"
"65400","65379"
"65400","16706"
"65400","86560"
"65400","48121"
"65400","23406"
"65400","65410"
"65400","9044J"
"30728","62545"
"04033","91731"
"77830","04124"
"15691","74752"
"42220","83485"
"88553","96683"
"51374","87969"
"02364","61168"
"85219","77390"
"62643","20547"
"68370","25167"
"89689","57636"
"Y6618","14751"
"88092","60677"
"19886","49462"
"45030","29081"
"87997","03349"
"83474","68633"
"83474","35955"
"36119","68633"
"36119","35955"
"02364","90940"
"14964","14151"
"00724","45344"
"53012","96888"
"82668","88656"
"80399","68559"
"83474","45809"
"20491","63787"
"02364","90334"
"02364","06834"
"02364","90298"
"02364","55378"
"02364","86890"
"02364","85185"
"74452","03347"
"98891","49178"
"53183","06956"
"94718","43689"
"45678","98397"
"46066","92047"
"82617","00178"
"88872","35959"
"20491","12416"
"23437","41387"
"71931","82510"
"45234","12791"
"59491","02263"
"02364","45920"
"59491","50088"
"59491","50037"
"59491","74752"
"59491","14005"
"87149","74971"
"67000","36255"
"87160","78418"
"83485","83331"
"98431","83331"
"83485","60435"
"98431","60435"
"3743","57381"
"89318","57381"
"59491","15943"
"42824","62905"
"68389","62905"
"74833","64108"
"59491","75040"
"59491","87538"
"59491","23390"
"87099","904JV"
"37025","37044"
"19983","91793"
"68389","87150"
"68389","23858"
"68389","15339"
"68389","88321"
"68389","06052"
"68389","45920"
"67442","68215"
"67000","43357"
"80409","92326"
"20539","25385"
"50011","26912"
"59491","25156"
"56456","48265"
"59491","20449"
"59491","48265"
"10487","08860"
"98891","07725"
"98891","60665"
"87160","09986"
"74331","45920"
"59491","25786"
"89318","89149"
"89318","49290"
"29444","07556"
"05288","68402"
"89318","65410"
"12605","52465"
"30090","92294"
"86671","78546"
"06978","12593"
"68389","34537"
"68389","17275"
"02364","93679"
"59491","43357"
"77830","00059"
"30065","00269"
"68389","82614"
"00765","52977"
"98411","45920"
"02364","89233"
"65413","05244"
"65413","62905"
"30090","05244"
"30090","62905"
"55082","05244"
"55082","62905"
"68373","17275"
"83402","17275"
"83485","65497"
"83485","29184"
"83485","14425"
"98431","65497"
"98431","29184"
"98431","14425"
"62947","89074"
"62947","49178"
"59491","11993"
"33931","43357"
"33931","13800"
"33931","35959"
"33931","62942"
"33931","79377"
"33931","65462"
"33931","87988"
"33931","88910"
"33931","65457"
"33931","24.9"
"33931","24.9"
"33931","24.9"
"33931","5"
"33931","5"
"33931","5"
"33931","2.1"
"16714","31578"
"86858","87123"
"02364","20449"
"28059","24702"
"64107","16951"
"00143","16951"
"59491","62942"
"39119","17275"
"59491","17275"
"36082","08664"
"46124","00011"
"73118","06423"
"89318","49290"
"89318","86561"
"89318","89149"
"89318","82554"
"59491","62942"
"68389","26864"
"64114","1957"
"59491","86676"
"59491","29440"
"11223","74062"
"02364","85285"
"87153","60682"
"98891","13904"
"69917","86862"
"18049","86516"
"59491","25168"
"25615","66953"
"04523","05301"
"00547","45174"
"98370","92335"
"59491","87940"
"28225","67622"
"55348","59147"
"98891","86953"
"23754","82620"
"54570","29482"
"68389","29482"
"69664","29482"
"54570","45920"
"68389","45920"
"69664","45920"
"54570","87149"
"68389","87149"
"69664","87149"
"46088","48216"
"78390","48216"
"20536","48216"
"20491","51000"
"69664","87149"
"59491","11102"
"55353","51930"
"55353","68196"
"88553","65490"
"87939","13904"
"68389","87969"
"36092","58440"
"55971","36969"
"04033","37426"
"59852","30355"
"59509","45640"
"91819","82705"
"91819","67118"
"27870","4042"
"59491","45920"
"59491","20449"
"59491","42823"
"59491","45814"
"54567","98985"
"87939","62007"
"02364","91393"
"68397","41029"
"68389","20449"
"20491","30191"
"20491","05672"
"56781","98391"
"86671","80862"
"88553","77853"
"4930","57383"
"24275","82619"
"59491","63822"
"46575","78137"
"58733","25860"
"80409","74389"
"87104","07781"
"13123","74388"
"10950","93444"
"59491","57571"
"89486","20449"
"45640","20449"
"18681","10254"
"59491","16161"
"82539","29928"
"77830","03879"
"77830","87156"
"47715","89056"
"39917","58227"
"30728","74387"
"30728","26919"
"87951","35687"
"87951","45590"
"87160","50216"
"25615","74141"
"29426","74141"
"71533","25385"
"62748","42823"
"83304","87938"
"26912","17004"
"26912","80660"
"04033","74614"
"92343","00207"
"46066","31765"
"45691","44980"
"53012","22404"
"67443","05587"
"68389","45920"
"68389","90921"
"62886","45920"
"44914","45920"
"62886","90921"
"44914","90921"
"46118","42823"
"02364","62757"
"77830","39110"
"45744","65656"
"52106","55606"
"75605","28272"
"00504","42823"
"31192","31670"
"39917","37937"
"92961","25536"
"55288","89225"
"92673","45920"
"66993","78651"
"68389","42823"
"77830","24241"
"59491","34537"
"39119","20589"
"68208","97062"
"59491","43812"
"46575","74141"
"11141","83567"
"29736","87195"
"02208","29299"
"56781","27862"
"30152","07713"
"90332","37962"
"73790","38153"
"00143","05960"
"02364","04011"
"02364","86681"
"05454","98741"
"50280","34459"
"94401","25984"
"74745","62007"
"74745","29096"
"13521","80305"
"14982","80305"
"80305","31304"
"59491","90921"
"92897","70439"
"24990","87270"
"74481","51670"
"72447","98388"
"68389","91131"
"59491","16980"
"59491","20440"
"59491","39945"
