cusip1,cusip2
"29931","42753"
"92632","13912"
"69917","79581"
"45245","09554"
"45245","80864"
"45245","47087"
"99023","59491"
"78436","71366"
"37921","74901"
"45137","83370"
"27968","74083"
"37265","01679"
"86325","64082"
"52891","93001"
"65346","83522"
"54007","98512"
"45136","87374"
"87394","91866"
"48193","55420"
"78000","74123"
"86684","46204"
"43462","68408"
"46003","G8147"
"61635","84759"
"99849","97662"
"34619","75928"
"16993","64126"
"87113","79581"
"74691","67036"
"74691","68198"
"98563","31839"
"91864","87939"
"98191","01864"
"69776","35063"
"87149","00474"
"60722","84894"
"45666","46181"
"76181","90394"
"28166","90911"
"45614","34665"
"97662","37263"
"84840","41120"
"46193","98443"
"55305","91677"
"44885","46114"
"21984","86683"
"00962","64171"
"84757","45268"
"25405","87436"
"45112","03826"
"00903","59497"
"30069","86572"
"73325","55921"
"4354","04384"
"23785","25405"
"58940","12510"
"00689","80409"
"98417","46114"
"83488","46114"
"87660","59497"
"99849","45715"
"87821","82499"
"49312","64169"
"89295","36479"
"75643","63049"
"56501","63932"
"17737","81088"
"98414","98563"
"44544","01382"
"69917","81811"
"69917","69919"
"69917","92324"
"69917","45279"
"69917","22149"
"58352","69917"
"21876","94117"
"60256","13974"
"69917","83517"
"82624","69917"
"05440","07758"
"04590","35063"
"84853","05381"
"71373","05381"
"91935","71271"
"62913","19262"
"84757","03611"
"88632","18489"
"57067","44861"
"95285","65341"
"05697","59491"
"98383","69835"
"68644","68868"
"14768","73643"
"44894","98442"
"58501","58931"
"12417","12637"
"12417","46575"
"12417","80313"
"12637","46575"
"12637","80313"
"46575","80313"
"70223","03771"
"95698","38212"
"26787","23797"
"18975","00357"
"29417","28638"
"55383","45133"
"87430","96690"
"45971","23762"
"05329","80409"
"77019","30356"
"45971","44861"
"87373","36137"
"7974","59491"
"7974","51820"
"60256","00357"
"05384","75128"
"16988","67440"
"87233","94951"
"27704","67579"
"46120","48730"
"63946","50338"
"88632","45678"
"96084","69520"
"28566","73325"
"37973","45622"
"00691","73950"
"78390","49925"
"87805","53931"
"58537","50087"
"63020","78540"
"17737","93006"
"05353","46003"
"46114","25185"
"26962","17279"
"45622","05349"
"59491","87885"
"87895","00524"
"98414","39241"
"20368","88553"
"15108","79581"
"45578","29644"
"87660","45601"
"77512","73642"
"92644","63850"
"56275","93007"
"20536","45672"
"44921","12320"
"59069","80305"
"78411","80409"
"04130","88406"
"62863","47096"
"67527","80322"
"01628","78604"
"97662","45568"
"02154","78462"
"16282","50339"
"49926","16282"
"28566","16282"
"00962","38892"
"23787","91179"
"16282","12765"
"68338","22142"
"83170","87660"
"78411","55984"
"45108","25364"
"83170","64075"
"50326","44415"
"46276","12761"
"46678","03666"
"28007","75655"
"86683","93003"
"86683","03750"
"93003","03750"
"44544","82617"
"37919","68228"
"08875","71701"
"38890","58729"
"28166","45666"
"62885","83234"
"14914","Y6618"
"97415","68389"
"70013","71537"
"20678","20350"
"74123","59491"
"36488","23229"
"69278","87182"
"59486","16988"
"37973","04502"
"33763","45125"
"24345","04281"
"45049","44491"
"56510","68389"
"20491","64075"
"26955","46114"
"29423","80409"
"37263","83421"
"45692","30353"
"48253","68731"
"45692","18051"
"88512","49256"
"97659","45125"
"38018","04683"
"80301","29314"
"53012","37978"
"37940","83329"
"23933","85223"
"21084","80321"
"95698","88632"
"88632","92568"
"21235","88632"
"53578","59491"
"63027","62754"
"86866","46181"
"75380","11765"
"75190","74480"
"45019","12342"
"45678","88632"
"47097","45124"
"57685","80409"
"72409","71842"
"67036","67135"
"5125","19074"
"5125","54152"
"19074","54152"
"95698","23489"
"60255","82549"
"40110","45232"
"17185","55457"
"68389","00349"
"26958","82713"
"98165","68389"
"46059","45621"
"57906","59491"
"95698","29095"
"G8147","64075"
"74347","77338"
"68412","54007"
"18064","82689"
"44440","48382"
"30069","82624"
"58478","52207"
"05536","18270"
"45244","49728"
"87157","17187"
"76657","29741"
"74727","69141"
"59491","62913"
"23323","29228"
"23323","46097"
"29228","46097"
"81570","18886"
"44913","94708"
"28528","55347"
"17048","45162"
"25285","64069"
"46059","92998"
"29785","18683"
"04618","98922"
"21249","78493"
"88658","34482"
"19285","59529"
"29155","25302"
"44888","04033"
"91935","59491"
"64094","56501"
"05310","28230"
"83168","37977"
"05377","75665"
"67579","61911"
"01847","53405"
"81570","42824"
"75118","63040"
"63938","92356"
"77939","20264"
"23812","30349"
"59491","7974"
"81570","54152"
"78390","17171"
"23754","55353"
"42470","44114"
"56501","56275"
"05349","68340"
"91915","87150"
"68411","92356"
"69326","88044"
"71366","03231"
"04321","42207"
"44873","44888"
"38259","65413"
"63027","75930"
"28659","30225"
"04289","70329"
"75606","04572"
"04289","88632"
"31561","45727"
"59491","80409"
"63020","82320"
"92849","71988"
"05323","68389"
"94735","76657"
"29412","29347"
"92983","29446"
"64093","83290"
"45980","68293"
"99019","86730"
"01864","27898"
"82790","26409"
"46094","29014"
"74182","88407"
"12417","92650"
"68408","54989"
"84865","46174"
"01382","87113"
"28166","89258"
"63946","45719"
"00522","03885"
"88660","82790"
"28028","81629"
"70467","09185"
"23487","95698"
"04033","44441"
"46093","49927"
"98433","80305"
"21255","69663"
"98405","65516"
"24378","46203"
"52186","02263"
"82485","37231"
"45108","68376"
"00420","29422"
"37979","22567"
"91759","49923"
"68371","87844"
"45705","96519"
"50050","23488"
"46093","89594"
"20752","89426"
"05313","50576"
"69278","04648"
"59491","45920"
"36784","22514"
"74787","23437"
"33856","55444"
"37920","22125"
"29641","03691"
"51569","16475"
"99018","89221"
"20567","54143"
"14168","82713"
"45819","56275"
"68375","20562"
"83584","09100"
"45839","98173"
"73732","29421"
"50309","86684"
"04559","47130"
"28573","23487"
"28573","28573"
"28573","92695"
"23487","28573"
"23487","92695"
"28573","92695"
"86474","31304"
"04033","69405"
"23250","00343"
"46575","94768"
"87660","45839"
"28566","87113"
"46322","76663"
"83584","98577"
"89486","45030"
"67018","40495"
"46684","22940"
"50322","59814"
"46101","76771"
"86435","74202"
"M1563","58592"
"83190","90933"
"63020","16990"
"89349","36134"
"37519","Y2711"
"88092","93040"
"25071","22516"
"57467","92529"
"07752","09041"
"20547","68389"
"29907","78591"
"37193","80305"
"90394","41269"
"62913","92355"
"80409","45156"
"29479","35171"
"30338","64083"
"82933","38022"
"78493","75094"
"37920","67130"
"88632","79581"
"04033","23234"
"04033","28566"
"04033","94768"
"23234","28566"
"23234","94768"
"28566","94768"
"83443","09099"
"88836","29420"
"45695","97662"
"10791","48360"
"55912","65413"
"75585","45724"
"83474","64164"
"15691","87149"
"92995","68379"
"45638","88632"
"73729","01210"
"92284","87146"
"7974","49459"
"14885","55921"
"46285","81809"
"29430","03691"
"86323","82598"
"30069","19394"
"98108","19189"
"30091","49976"
"18063","56510"
"46093","15920"
"28566","29610"
"72708","07661"
