cusip1,cusip2
"92385","65791"
"87895","88770"
"20723","55955"
"36340","68327"
"71372","12891"
"61959","46801"
"77312","86630"
"43318","55921"
"13105","47042"
"53581","45920"
"48709","87424"
"76288","53015"
"83248","82981"
"76087","01585"
"82936","69202"
"12673","42226"
"91546","26909"
"00579","98128"
"89627","21893"
"45169","47095"
"46169","44377"
"00507","15945"
"49935","61906"
"86439","22943"
"68373","55169"
"29716","04982"
"92357","94912"
"94732","16181"
"44688","70315"
"07680","45920"
"92409","92384"
"70346","91958"
"70162","65283"
"75383","28146"
"53625","68371"
"86611","93061"
"56071","33892"
"03833","30693"
"01238","83401"
"45471","70358"
"55189","56752"
"46116","75769"
"46936","82208"
"00971","48247"
"12429","83662"
"D3706","20384"
"12298","06290"
"89316","83202"
"23249","82171"
"03662","59491"
"91935","86543"
"92413","80641"
"63248","38258"
"75780","89785"
"46242","20580"
"73828","83768"
"17170","29150"
"88378","48571"
"27063","59491"
"59491","98433"
"82818","94693"
"98344","26728"
"88993","27380"
"88993","57091"
"27380","57091"
"53155","49694"
"40163","60622"
"10570","87113"
"74414","33860"
"86175","39785"
"25577","32371"
"75696","89798"
"75738","09362"
"45541","20384"
"28409","30334"
"47046","88861"
"53957","30196"
"11162","64107"
"29426","25577"
"32371","67288"
"73094","98433"
"23682","81211"
"48592","59491"
"59505","09758"
"14202","67290"
"45715","65779"
"13891","68389"
"93220","76364"
"29175","91868"
"78505","19886"
"55921","57906"
"28409","94959"
"62942","27914"
"62942","86520"
"27914","86520"
"37364","47167"
"25244","46428"
"40163","47880"
"25400","00506"
"75383","13910"
"11779","45920"
"92374","57906"
"56071","33783"
"62458","12009"
"55310","90737"
"20786","91817"
"77311","44668"
"55696","23944"
"55696","55999"
"23944","55999"
"67018","56566"
"81584","50309"
"23782","31954"
"99109","28409"
"7974","93300"
"68371","23727"
"31561","75095"
"67446","46380"
"45372","20644"
"65172","80446"
"65172","18469"
"80446","18469"
"40393","80541"
"81725","23509"
"23186","03825"
"55921","79466"
"32371","81503"
"68387","68449"
"70557","13891"
"82317","67053"
"58954","71896"
"83546","25541"
"73804","44637"
"97659","88536"
"30487","50313"
"30487","45061"
"46428","87659"
"48247","51839"
"60272","67597"
"90458","83811"
"03887","64647"
"76359","12926"
"03949","70504"
"47247","73748"
"81372","13804"
"01238","16937"
"30458","05462"
"30458","90522"
"30458","31315"
"30458","45409"
"30458","74589"
"30458","86725"
"30458","61995"
"89597","92376"
"45372","47278"
"20644","47278"
"23945","47279"
"45920","49465"
"81941","38282"
"81941","44577"
"25219","10917"
"45678","67066"
"43407","64111"
"46513","26825"
"27874","29022"
"36949","98758"
"64024","65756"
"25331","47065"
"28305","24702"
"92409","87554"
"56624","98556"
"80305","37511"
"80305","65490"
"17241","83814"
"36902","09628"
"71426","16942"
"59491","60367"
"98927","97789"
"83813","46399"
"97651","24682"
"44640","86416"
"45427","60405"
"13890","05188"
"76387","46213"
"60271","21214"
"35856","47265"
"82554","47182"
"89441","75758"
"02234","M2201"
"05184","80862"
"69974","18690"
"38259","92367"
"90736","65462"
"92845","10781"
"98787","86540"
"98787","87804"
"80541","70359"
"59491","67066"
"38259","60382"
"38259","78946"
"30402","65743"
"37520","55692"
"14469","31745"
"13152","64111"
"94732","57736"
"45920","82322"
"45920","66459"
"09267","10113"
"45920","06602"
"97729","14584"
"04518","02101"
"09412","91750"
"86295","90147"
"83076","50313"
"45666","45814"
"44688","38263"
"01244","87655"
"04079","59784"
"04555","72788"
"94758","01503"
"37285","39913"
"38259","83569"
"91964","74165"
"45920","59221"
"06303","89821"
"68422","60740"
"70493","62736"
"73128","86527"
"23234","08642"
"23104","47049"
"23104","83747"
"60049","57571"
"89441","07009"
"59220","92416"
"23104","29066"
"59491","65490"
"88334","63842"
"67071","80926"
"89742","92418"
"20259","80100"
"69751","27110"
"01491","73814"
"01491","63259"
"G9877","21248"
"90955","62905"
"60633","01455"
"60633","62497"
"69823","37517"
"86173","86101"
"58670","81094"
"62909","36570"
"56752","25503"
"17170","93282"
"17170","93282"
"29150","93282"
"29150","93282"
"65276","43414"
"83546","92403"
"65276","43414"
"74331","52701"
"44665","42381"
"01238","06426"
"05500","90046"
"45070","99226"
"30057","03651"
"30057","88977"
"75780","19104"
"89785","19104"
"57906","30226"
"78933","75421"
"89668","92932"
"23910","97762"
"03662","74727"
"59491","74727"
"03662","7903"
"59491","7903"
"03662","24702"
"59491","24702"
"75476","92367"
"24802","97572"
"45920","83410"
"56752","86700"
"36080","37393"
"23706","98395"
"01426","88123"
"87981","97165"
"65265","80642"
"36909","05534"
"83401","81919"
"97651","51939"
"69750","12389"
"05085","98367"
"05085","67275"
"44664","50246"
"92846","16946"
"46873","87962"
"42226","71893"
"89564","03501"
"25047","57381"
"23175","87612"
"38259","76319"
"45217","92854"
"01238","42128"
"83401","42128"
"01238","27058"
"83401","27058"
"31936","18500"
"31936","04726"
"27110","89286"
"45496","45681"
"64115","04705"
"38227","84875"
"07868","12231"
"59219","38232"
"98431","90366"
"48887","73829"
"75696","53197"
"92409","92169"
"92384","92169"
"83053","90123"
"55664","34637"
"57906","41387"
"82208","15320"
"50627","94184"
"94353","87944"
"37915","09219"
"45105","45665"
"45920","23611"
"82936","86618"
"75531","38185"
"45920","65656"
"00507","35085"
"15945","35085"
"99193","07672"
"89627","41619"
"55658","44376"
"83880","65490"
"90145","60930"
"22422","75562"
"78901","74799"
"42672","01563"
"26884","80685"
"73837","79605"
"13123","40704"
"22118","01734"
"62902","29066"
"09357","55434"
"40393","13637"
"00724","11132"
"45920","76565"
"67253","08871"
