cusip1,cusip2
"69660","29988"
"52769","68389"
"50399","68748"
"44784","68346"
"82865","84925"
"58635","29151"
"59508","00088"
"98178","94729"
"N8501","57914"
"45299","44788"
"02137","83310"
"90225","59491"
"18893","54135"
"82967","35688"
"64040","46416"
"98193","23676"
"59491","88076"
"37390","68334"
"15177","45553"
"69267","45464"
"87161","69673"
"87299","92042"
"85815","38023"
"45494","37971"
"5125","45126"
"73325","11135"
"87244","99123"
"30745","86719"
"38911","88337"
"75024","68306"
"89643","18732"
"84664","13003"
"09609","87150"
"92727","42854"
"42854","87776"
"06135","06129"
"47234","22357"
"84796","90225"
"37197","84925"
"09149","56515"
"28670","62491"
"22669","65354"
"74659","45593"
"15064","45960"
"30430","64456"
"30049","75301"
"52600","73621"
"92377","20452"
"74650","68309"
"68431","44787"
"63936","56536"
"57681","90627"
"98562","76657"
"20416","44061"
"82602","67136"
"45299","46735"
"40128","46208"
"24233","01218"
"74909","59491"
"52769","46179"
"88337","20407"
"88337","09362"
"20407","09362"
"15691","23193"
"13205","44193"
"45625","34353"
"98562","09628"
"44781","38259"
"M8215","73750"
"29614","29555"
"03177","03248"
"98569","31704"
"13123","15072"
"78295","86280"
"74833","64218"
"06083","13086"
"03901","75872"
"04651","12380"
"45840","87776"
"12781","68422"
"05181","92378"
"83568","84839"
"74971","29426"
"45549","82126"
"45464","15168"
"79977","89192"
"45677","76436"
"75777","63124"
"M6184","53499"
"60710","44119"
"00445","55579"
"57906","74971"
"98562","91935"
"45208","00413"
"38041","23026"
"02342","45920"
"13765","53609"
"23769","27976"
"68389","88138"
"28224","25546"
"46380","80409"
"31182","45678"
"45173","78389"
"73643","29197"
"75045","92621"
"26813","51767"
"84852","44817"
"69677","58975"
"40663","74662"
"01188","87823"
"83367","82896"
"04343","83299"
"88593","76857"
"68435","23812"
"46281","87929"
"86900","88117"
"51587","44784"
"36897","03300"
"58494","46466"
"92368","23839"
"45549","74663"
"22284","73974"
"83280","74658"
"84789","75293"
"20573","46226"
"81828","12711"
"71567","45920"
"13123","88218"
"52078","26947"
"20354","31436"
"13892","87284"
"47151","63062"
"93727","10923"
"76565","98441"
"03788","87720"
"01172","26898"
"09265","68306"
"53687","28672"
"68389","97659"
"89325","16107"
"86324","05313"
"15678","92846"
"73325","12673"
"01225","82853"
"19415","87704"
"70457","68355"
"01585","M8789"
"74662","87704"
"97651","46380"
"05501","00377"
"12643","87116"
"70457","27935"
"78281","73987"
"20416","04251"
"54731","70162"
"13010","30085"
"37520","89319"
"59140","88220"
"09194","68199"
"05909","46473"
"75324","08980"
"2458","01754"
"12516","87748"
"68566","36053"
"21784","45920"
"25225","90142"
"63083","86341"
"69634","36426"
"46354","58625"
"01228","19417"
"18469","29559"
"45715","01411"
"42382","23544"
"81941","95050"
"51495","88417"
"38041","26221"
"68310","02042"
"03735","28906"
"92531","63943"
"29541","43651"
"92771","29512"
"68757","04966"
"38316","90573"
"03815","40666"
"09589","00420"
"25612","98628"
"48485","65739"
"38059","75851"
"65236","89482"
"89689","55921"
"63936","83115"
"45398","65334"
"00375","23170"
"92700","01215"
"M8789","46688"
"44775","25049"
"61682","7974"
"70717","46479"
"45817","04657"
"44367","44315"
"59186","88657"
"26753","01231"
"98562","68389"
"63936","24282"
"61635","81655"
"20563","54157"
"98927","26751"
"22228","74139"
"35961","09609"
"92366","93173"
"89416","82602"
"83215","01678"
"45437","M0392"
"37790","68356"
"60632","45556"
"83678","49840"
"46059","36419"
"47185","64050"
"76047","82423"
"75095","23169"
"94768","62814"
"13060","04707"
"08661","54983"
"64916","93155"
"46059","87731"
"23220","09106"
"18469","73912"
"44774","92343"
"46731","46483"
"00287","83036"
"75315","12488"
"23808","13106"
"28226","47082"
"55578","25526"
"25614","44773"
"80305","00724"
"88225","90129"
"87113","75315"
"04990","01237"
"68556","09628"
"46122","23250"
"25849","75316"
"03647","99123"
"20067","87774"
"22905","00611"
"76657","37193"
"01556","31693"
"81811","12736"
"88220","80409"
"22220","78838"
"76772","94710"
"61770","75271"
"92532","64036"
"79723","37181"
"58415","29341"
"98498","59491"
"30303","86876"
"98565","22228"
"23798","15228"
"80305","68371"
"55353","63947"
"40393","78493"
"44907","36356"
"98597","87774"
"46612","27063"
"22595","46457"
"52769","23715"
"45469","58451"
"22295","93189"
"69968","53188"
"17208","23687"
"23803","86558"
"26547","07246"
"06147","83294"
"87113","75657"
"06147","22762"
"01097","72430"
"01097","36422"
"72430","36422"
"57184","36388"
"01240","88351"
"27007","40668"
"87736","99131"
"80305","86736"
"57756","74783"
"20354","23688"
"02137","68439"
"62566","04324"
"38170","69856"
"02137","97784"
"29426","24785"
"59099","13529"
"52184","97353"
"20539","46758"
"38259","30430"
"04966","05525"
"38259","79466"
"22160","00474"
"98927","83294"
"17187","42973"
"17187","92969"
"42973","92969"
"69684","00474"
"81941","67174"
