cusip1,cusip2
"29221","46575"
"00420","42845"
"63127","13804"
"97828","89308"
"69244","98824"
"09851","12488"
"13048","27915"
"33792","54419"
"29666","53609"
"63053","37632"
"92368","45522"
"92337","22226"
"63127","00615"
"63127","46335"
"00615","46335"
"63142","45451"
"18681","93099"
"33970","73747"
"14437","88303"
"45299","66955"
"45299","14351"
"45299","45450"
"45897","88577"
"35994","04314"
"82871","19244"
"12488","79400"
"81688","79466"
"46228","45511"
"94768","09524"
"00632","29070"
"69548","90333"
"98377","55921"
"64195","83547"
"75146","87696"
"02142","91803"
"09581","97773"
"58386","01110"
"27057","42968"
"98597","30407"
"50326","46059"
"18886","75804"
"88346","87632"
"75596","40480"
"75596","60460"
"40480","60460"
"29657","82399"
"23783","59497"
"05384","36060"
"59497","36825"
"83547","13775"
"45456","87052"
"74876","03799"
"02142","09203"
"73054","82728"
"92771","09524"
"92771","09524"
"80409","89682"
"89774","92343"
"99015","47826"
"45236","83402"
"99015","47826"
"28281","34387"
"33857","42851"
"48670","38259"
"18456","23812"
"00928","12956"
"44800","65702"
"74754","03825"
"00616","00504"
"37377","26804"
"87471","17239"
"75599","25542"
"91850","78590"
"86876","13775"
"00585","22288"
"09626","88220"
"37790","72765"
"41029","47023"
"41120","01114"
"23827","46337"
"04582","05904"
"46368","14838"
"23800","36415"
"90000","45457"
"98449","87052"
"68371","74586"
"22277","89841"
"37181","01114"
"94768","59491"
"92317","38031"
"45457","45920"
"85277","45457"
"57880","75336"
"74863","98186"
"45454","30387"
"92230","44826"
"60464","57906"
"09977","73754"
"68371","20502"
"81839","48592"
"52101","69937"
"55984","92343"
"88717","69634"
"38098","52178"
"86066","78657"
"89638","00405"
"46329","64175"
"89638","23661"
"57880","63124"
"57880","74816"
"01988","01115"
"92366","93120"
"99030","50464"
"65088","81824"
"82920","46369"
"83634","86501"
"36238","01099"
"04320","03896"
"29666","55196"
"59491","23839"
"54599","92734"
"44572","29555"
"91221","36394"
"61634","20614"
"01132","09377"
"15246","88404"
"23812","73325"
"23813","46540"
"37908","68403"
"97651","66955"
"63083","05905"
"M6184","73325"
"72774","00724"
"63089","14096"
"33970","71571"
"52891","69635"
"00616","83662"
"87785","84840"
"46284","00724"
"79470","83429"
"63931","45690"
"70277","71931"
"11135","93121"
"90925","69521"
"78463","70290"
"78597","98784"
"63931","29555"
"45920","75246"
"70327","69959"
"92590","88204"
"25351","82973"
"45897","37274"
"36242","98552"
"12716","25377"
"00586","91221"
"00586","87656"
"91221","87656"
"00586","91221"
"46341","61952"
"22277","25292"
"31884","97785"
"41900","45172"
"87782","23827"
"09203","17737"
"70487","00469"
"44798","73995"
"53499","59491"
"36113","03282"
"04966","68371"
"19244","45920"
"74971","75335"
"11164","91899"
"34378","24792"
"87929","21251"
"98441","45939"
"21251","75776"
"97467","73119"
"87885","93124"
"80334","73119"
"24372","48592"
"83627","58623"
"27860","67599"
"94768","22757"
"22757","94768"
"04320","87637"
"14463","70449"
"94843","12328"
"83591","44984"
"09524","92343"
"81837","74863"
"65337","65698"
"64152","73325"
"73325","44984"
"87394","22947"
"38869","68363"
"17072","74559"
"46694","68259"
"88144","14194"
"47828","20404"
"87782","59491"
"89668","26175"
"63936","52769"
"55921","75652"
"2458","68183"
"73754","59076"
"70557","48382"
"83111","92343"
"59497","78462"
"74024","62524"
"03806","97785"
"01007","50153"
"73094","29398"
"86459","54165"
"87597","89068"
"92855","80362"
"57081","20671"
"97756","36791"
"70487","90225"
"55472","31436"
"07829","46376"
"11135","43396"
"50470","83030"
"59139","46114"
"69216","74909"
"45464","45131"
"54321","45660"
"12393","68299"
"98138","04605"
"18062","98431"
"18062","83401"
"98431","83401"
"03364","25350"
"03728","46994"
"46114","78550"
"46377","35917"
"22674","18891"
"M1533","68389"
"54052","64120"
"03740","55182"
"73154","57670"
"46114","23747"
"42373","42222"
"75775","37274"
"34999","69548"
"92673","54161"
"35047","92590"
"29070","07830"
"68371","10811"
"83215","67107"
"73325","46378"
"83402","94989"
"65600","4764"
"87560","78465"
"92317","38316"
"64114","37223"
"83627","58623"
"45299","17985"
"37940","52755"
"45462","46379"
"54607","31213"
"25536","45635"
"73089","43358"
"01143","81364"
"83285","83317"
"63127","57906"
"88769","89315"
"29556","46694"
"81824","02148"
"99081","98209"
"61689","45510"
"70327","38053"
"72203","68360"
"30412","45666"
"83168","61635"
"42194","74601"
"41029","92586"
"68287","01143"
"70327","73994"
"45467","56170"
"98138","04605"
"57031","50482"
"67487","17088"
"87656","59491"
"26786","13204"
"45217","44797"
"92733","94773"
"59491","04394"
"64211","46380"
"23783","49890"
"37197","98558"
"83507","63062"
"04486","89472"
"83285","92591"
"35994","01146"
"87793","68435"
"59491","44914"
"97648","M8215"
"24802","29777"
"78588","04225"
"38269","78540"
"04966","05800"
"28281","83658"
"04966","05800"
"58446","89446"
"87782","20516"
"82967","74607"
"74607","15246"
"25204","50339"
"88359","01396"
"Y2711","87570"
"88209","63138"
"65243","55921"
"97659","79466"
"68436","04970"
"92184","80915"
"45614","55558"
"25958","35044"
"23537","05898"
"83285","36327"
"80305","59491"
"91221","59491"
"78540","99106"
"62861","39862"
"09223","78807"
"68324","06089"
"45150","22057"
"97659","70557"
"30418","96954"
"37378","59321"
"22101","58982"
"20531","23841"
"59491","36062"
"05861","56062"
"01148","93372"
"74727","64207"
"83215","56181"
"01471","M1533"
"41459","23655"
"75775","59491"
"70473","84637"
"92794","80305"
"92258","58627"
"72204","45469"
"67439","59935"
"11162","69521"
"46122","68371"
"75265","17985"
"76184","98433"
"59114","01043"
"27965","45509"
"97659","46206"
"98974","29564"
"25858","45467"
"76565","00724"
"00724","46277"
"14071","50400"
"05800","97662"
"27048","88197"
"83591","64152"
"05147","23598"
"48406","29156"
"36954","45678"
"14168","83187"
"40393","59546"
"27048","82102"
"87082","37520"
"29564","29347"
"85775","45468"
"67144","97314"
"27965","63131"
"45148","50010"
"71388","87353"
"40170","83099"
"04581","84789"
"68389","81678"
"75253","21783"
"34559","73643"
"62886","67000"
"93099","74150"
"93099","45920"
"74150","45920"
"12429","59491"
"40592","65310"
"59491","45920"
"78411","31686"
"74766","13855"
"71393","69650"
"30245","M2559"
"20254","36502"
"54090","82726"
"78687","35044"
"98975","97475"
"00936","14908"
"54158","75529"
"68218","38236"
"02141","55921"
"03662","57721"
"18893","81776"
"25049","12968"
"98823","98814"
"79977","50153"
"25989","46120"
"45471","99107"
"88199","03829"
"03728","51475"
"92371","17735"
"88512","29742"
"4764","11135"
"09357","72816"
"03806","30057"
"20809","72357"
"63053","33771"
"31686","24281"
"31561","75529"
"44826","33771"
"30413","83660"
"29421","60637"
"44057","03466"
"83591","04966"
"56513","13086"
"92727","65346"
"98561","28287"
"30232","89268"
"48164","50487"
"83545","58447"
"58429","29197"
"34474","58384"
"06095","42177"
"87258","37359"
"80541","87656"
"78289","68568"
"02142","18453"
"88838","61993"
"63089","70975"
"45703","81585"
"28670","48592"
"83111","46060"
"03869","11135"
"63142","52760"
"31771","46328"
"03974","29197"
"02137","68437"
"63127","05309"
"98985","52892"
"M1533","78390"
"75214","45472"
"46380","73325"
"45139","00616"
"56585","83111"
"75095","45646"
"46612","36062"
"29197","86901"
"70324","26968"
"84490","70487"
"36403","74150"
"92343","68389"
"86341","22220"
"05189","29215"
"09609","25217"
"25614","45503"
"02137","71436"
"58383","41268"
"00576","36894"
"43741","40632"
"46118","25388"
"90458","12028"
"67649","66705"
"73987","23783"
"87636","64447"
"75271","14015"
"81364","82026"
"80908","68389"
"58954","25217"
"92304","23746"
"58629","14778"
"88363","60480"
"42293","30038"
"86891","58940"
"34955","65701"
"70324","18491"
"64055","59739"
"86343","29069"
"92531","45920"
"68423","76711"
"99109","60080"
"04966","59491"
"09201","04966"
"20525","89689"
"87705","64022"
"91221","83210"
"83591","62795"
"04622","59491"
"29459","76281"
"29459","88727"
"60643","48666"
"78815","30415"
"37422","03896"
"98433","43397"
"09100","46355"
"56585","92593"
"73325","74619"
"22220","89638"
"23770","75854"
"87162","34971"
"75163","04054"
"46114","30592"
"29666","55196"
"75272","94740"
"28659","18064"
"55353","45920"
"36403","51858"
"73639","30745"
"40355","45505"
"46428","72592"
"87161","64120"
"80541","70324"
"59491","98562"
"45276","25603"
"45236","82898"
"89494","69655"
"98810","07158"
"60750","46359"
"75663","87780"
"20337","64120"
"27133","29568"
"69034","84791"
"93152","45741"
"20754","04485"
"54140","88692"
"01872","50491"
"28670","12389"
"79644","86991"
"29114","80519"
"83168","G2901"
"25049","82370"
"27965","22663"
"53963","00611"
"65712","73986"
"75663","39666"
"88727","46082"
"68389","90221"
"48666","45816"
"86206","83673"
"98974","83593"
"94769","92343"
"N8501","92726"
"78403","59491"
"63936","26885"
"71991","45868"
"89788","31182"
"37907","88137"
"80613","53615"
"86323","42176"
"27885","99030"
"64214","45485"
"84852","15731"
"84852","68436"
"27064","73732"
"94768","45715"
"22757","04670"
"45245","78657"
"28281","78289"
"68383","88602"
"34974","94117"
"37998","70327"
"29666","55619"
"81372","70303"
"98557","70977"
"86343","00793"
"68304","30303"
"80456","07836"
"90000","01872"
"09609","83396"
"87157","72154"
"00632","89717"
"38008","22057"
"83168","55270"
"23699","29567"
"98561","72711"
"36113","47831"
"53563","52760"
"41489","53281"
"83608","38912"
"78689","78678"
"25544","12980"
"46349","23573"
"57799","89832"
"7974","69660"
"74628","31704"
"17737","59491"
"75624","53990"
"42176","81863"
"75664","68422"
"92833","94406"
"68756","83663"
"92385","36404"
"46345","67148"
"13910","46288"
"75529","83664"
"82093","34985"
"45478","25565"
"45485","86756"
"03812","68422"
"49889","76047"
"63062","39242"
"25619","26936"
"88100","09357"
"82732","68181"
"70327","75285"
"52600","24518"
"44095","29568"
"70487","93205"
"42373","86872"
"45503","82509"
"45535","68375"
"69888","27069"
"81843","54932"
"72343","86661"
"44455","01181"
"48253","50309"
"25771","38103"
"82732","42259"
"15921","46395"
"93154","08977"
"63936","01182"
"20524","42845"
"03270","46212"
"14168","63911"
"83591","29116"
"48368","46396"
"48490","65729"
"46736","78295"
"94848","G6754"
"48369","78389"
"N8501","74629"
"36405","73095"
"25850","93146"
"71392","00846"
"03833","78462"
"70505","74883"
"76657","53681"
"45920","23134"
"64028","88426"
"83402","97312"
"G6754","45502"
"60720","06025"
"74733","17263"
"46365","44959"
"78734","83401"
"05329","97659"
"22303","54161"
"12538","52769"
"74857","14168"
"67445","06107"
"72744","56275"
"23840","54157"
"86529","58630"
"56585","69238"
"98955","17265"
"02137","91021"
"80908","74221"
"56646","25405"
"38259","46120"
"02137","30143"
"46121","31594"
"92366","29384"
"74971","92374"
"64215","62797"
"05329","00846"
"60929","71933"
"94772","45715"
"94768","22757"
"67201","75383"
"64104","03901"
"84663","12673"
"01158","22409"
"75646","87697"
"22409","03668"
"74783","06110"
"75664","04673"
"03825","89688"
"29109","82418"
"94740","99106"
"25546","88368"
"04091","28647"
"83402","13375"
"98347","70324"
"12331","92858"
"80456","54241"
"80541","38116"
"00784","45681"
"82679","71426"
"00846","45920"
"78782","68212"
"76807","87960"
"38358","29512"
"93379","56752"
"08190","86438"
"21244","59493"
"69639","98974"
"01188","74808"
"97648","99107"
"09977","21244"
"86346","45221"
"86346","59208"
"45221","59208"
"14810","98562"
"63148","87046"
"10047","09357"
"71966","31999"
"44791","16181"
"83092","86661"
"45456","44485"
"23598","80909"
"09622","84842"
"20524","90710"
"88018","37980"
"92366","00667"
"29156","60378"
"74559","78645"
"25603","63931"
"15620","26711"
"75068","34985"
"71549","29573"
"73621","78287"
"83546","55590"
"77931","57815"
"30425","24233"
"87150","92343"
"59505","84936"
"22220","21784"
"09265","02141"
"89792","35854"
"74818","04966"
"68371","75727"
"21094","23811"
"74766","71966"
"37940","70492"
"94772","83593"
"93153","87132"
"59582","87040"
"24771","15074"
"46694","68389"
"94331","83658"
"N8501","52334"
"89120","35942"
"03973","83402"
"88528","69255"
"48368","54053"
"87160","91221"
"03300","63149"
"04321","29115"
"85850","98401"
"58632","01193"
"03728","76268"
"13891","59491"
"45961","68574"
"68555","74611"
"68555","91331"
"74611","91331"
"51808","49838"
"45539","20563"
"54161","62628"
"68389","00724"
"44097","36413"
"69665","10677"
"89432","91795"
"90601","81750"
"54140","58720"
"02137","57670"
"61975","31537"
"86901","11086"
"69964","81861"
"42987","52455"
"45952","81843"
"22220","25350"
"29575","83601"
"45236","87681"
"59491","98832"
"68306","68389"
"99117","58438"
"59491","67000"
"62906","59208"
"73982","74331"
"78398","76878"
"38008","71918"
"60692","06120"
"56262","87039"
"46275","45937"
"03740","74403"
"86891","72782"
"76657","45666"
"94762","48591"
"80409","70977"
"45245","34492"
"44984","93154"
"02097","93160"
"64065","20021"
"92385","26755"
"45158","44315"
"88283","59114"
"94406","82117"
"94406","38032"
"82117","38032"
"55353","44791"
"61458","68356"
"25614","68266"
"91221","59491"
"91221","72452"
"22264","82995"
"81650","74131"
"63062","63151"
"98562","28226"
"65724","92272"
"92188","92343"
"97729","44884"
"97729","59491"
"44884","59491"
"98562","78821"
"45495","68383"
"13933","87284"
"89638","45610"
"74745","93108"
"54161","78827"
"90293","12733"
"N8501","56515"
"10547","86879"
"63920","75678"
"13957","27060"
"02154","14457"
"45571","71546"
"13957","03951"
"70557","12328"
"45571","23754"
"78782","94768"
"55203","03694"
"78285","40138"
"59549","88224"
"45816","20563"
"60634","00453"
"58633","15064"
"01120","67205"
"04966","46741"
"21895","54165"
"45488","27061"
"98562","45961"
"01121","46389"
"91380","05827"
"91731","76674"
"93704","36504"
"45817","88582"
"80603","60720"
"44097","09751"
"97000","78285"
