cusip1,cusip2
"88026","36416"
"86660","82617"
"63257","05206"
"59487","83299"
"04622","25527"
"23247","29257"
"92230","89638"
"73149","98891"
"69518","98974"
"87064","25591"
"67124","99097"
"70337","89665"
"31182","64050"
"88057","88041"
"18892","81849"
"45885","99015"
"58386","55590"
"11131","68389"
"77929","18456"
"89841","75168"
"44929","83169"
"36376","63735"
"48368","56585"
"80409","27914"
"89692","46323"
"71356","89841"
"05788","31454"
"20539","05908"
"89129","94768"
"44803","46449"
"73325","58940"
"87656","80305"
"68339","04053"
"25527","14600"
"28869","15691"
"80919","92722"
"54411","78791"
"58940","25405"
"8190","59491"
"80334","46449"
"05896","22969"
"08675","84936"
"42952","36238"
"38316","72914"
"56624","46354"
"62754","75765"
"45971","87629"
"60883","36348"
"83402","81679"
"48594","73325"
"82967","25526"
"92230","78786"
"00143","31714"
"11135","23839"
"27039","01112"
"03206","04662"
"73089","23250"
"58937","88089"
"29317","69630"
"80613","82895"
"74567","83527"
"80409","59486"
"23603","88198"
"13068","55610"
"33954","78785"
"89268","73349"
"04651","29430"
"76657","45440"
"68338","87796"
"46354","45845"
"89332","31197"
"45352","80044"
"29675","88187"
"38870","49899"
"81145","48594"
"69773","09126"
"83025","64115"
"05862","42364"
"68001","16142"
"87160","83657"
"83025","19244"
"05861","52478"
"76878","12719"
"64207","00724"
"98549","59491"
"68338","80515"
"91894","27046"
"22591","03896"
"55353","29287"
"18502","48594"
"52328","72409"
"88572","03782"
"22357","52758"
"35771","54157"
"98571","01888"
"37906","84739"
"98548","21981"
"83147","63124"
"44345","46119"
"69046","75232"
"37181","70344"
"78390","65365"
"09608","45438"
"99029","59209"
"31796","75068"
"44098","14148"
"89432","46301"
"59491","22277"
"59491","80286"
"22277","80286"
"50431","83422"
"00616","45600"
"55610","58940"
"90385","98137"
"23307","74620"
"66705","29102"
"58470","92585"
"54158","09610"
"48382","01773"
"48670","64120"
"74559","82975"
"46256","55549"
"92771","16703"
"98547","23307"
"04969","80305"
"33762","55535"
"45823","60656"
"23839","76932"
"83402","37971"
"78782","37906"
"70324","46575"
"74913","67184"
"56582","04666"
"25063","83635"
"92531","55549"
"82026","40226"
"96756","23598"
"23592","76769"
"87585","21259"
"23592","87785"
"23592","25000"
"56510","19244"
"39302","45234"
"23592","88711"
"64063","23184"
"24518","27046"
"58940","87656"
"01409","90589"
"23792","89470"
"31182","81837"
"45618","81364"
"01099","11612"
"94768","41828"
"09739","87645"
"88632","88600"
"83647","21868"
"41029","N8501"
"15098","20580"
"69521","87501"
"46310","68371"
"05329","64098"
"75807","03812"
"91819","88549"
"83290","98547"
"44097","30077"
"92230","68184"
"40173","92366"
"54161","20536"
"50453","87786"
"67148","76023"
"90356","44334"
"44993","78390"
"80305","45920"
"18456","91021"
"68389","28566"
"28031","53584"
"75163","15678"
"45431","68433"
"87656","68371"
"45920","68389"
"48479","44544"
"94768","15709"
"00584","03972"
"86710","23599"
"87560","68389"
"68389","45715"
"09789","92034"
"20563","85826"
"05189","46994"
"73936","82497"
"94117","01100"
"24828","69505"
"56180","04966"
"31624","17987"
"19235","31686"
"19235","80541"
"31686","80541"
"91221","59491"
"94110","17737"
"92307","20693"
"53569","88512"
"23596","65688"
"46247","92366"
"46247","92368"
"92366","92368"
"42360","80519"
"48369","45232"
"83299","01085"
"06631","78463"
"14189","83291"
"63133","G6754"
"63133","00723"
"G6754","00723"
"23835","87571"
"87116","M2508"
"05838","70558"
"46167","88138"
"81372","49259"
"04622","54959"
"75226","80305"
"44934","69929"
"89276","69873"
"44934","69624"
"85505","63133"
"49116","82720"
"59491","78687"
"00724","45236"
"78403","63062"
"49464","23598"
"80437","09252"
"29666","99080"
"20536","25614"
"89692","13214"
"04306","92587"
"28409","00753"
"82914","73325"
"05835","87872"
"92587","28281"
"31182","45611"
"23208","17155"
"46344","74096"
"60773","50399"
"G6754","58424"
"89268","86283"
"76565","27907"
"69278","42799"
"05835","38008"
"53654","22754"
"44959","49332"
"19426","67445"
"96519","20491"
"54157","31880"
"41269","27046"
"34978","45427"
"28281","23530"
"82989","75480"
"20809","90219"
"28840","02263"
"92343","44949"
"63948","46168"
"26899","74096"
"61689","59142"
"89692","55267"
"63920","04496"
"92846","23597"
"38098","22264"
"20418","74560"
"17987","03825"
"11164","06110"
"60464","75702"
"87064","18956"
"90327","87656"
"37378","24364"
"54158","57654"
"21876","98357"
"94768","64050"
"98985","46304"
"88192","19244"
"64204","85533"
"98975","84929"
"59497","20536"
"68259","89598"
"64058","64107"
"57658","87568"
"29450","19207"
"82679","92312"
"63053","74523"
"59089","80613"
"46118","83396"
"80427","12571"
"58937","46010"
"71418","66779"
"83546","05069"
"70327","04564"
"09608","87556"
"68419","37906"
"45703","81216"
"45660","26885"
"06631","79468"
"23803","23769"
"98974","27910"
"45676","60926"
"70388","17156"
"67177","21230"
"17261","69267"
"29442","44820"
"07246","45198"
"54158","67177"
"31879","44817"
"25532","45719"
"25385","53814"
"74178","86323"
"63127","82026"
"87656","19244"
"92524","82809"
"89268","65684"
"58470","68167"
"51494","58730"
"88543","10843"
"10640","83627"
"29384","89827"
"87678","39943"
"87678","05412"
"60771","98539"
"40639","93944"
"10138","68389"
"45120","97817"
"53814","61169"
"M8215","36364"
"88632","22057"
"00847","78872"
"82679","25617"
"92849","93061"
"30042","07812"
"74902","05868"
"74783","73248"
"64709","22490"
"87565","78389"
"40355","86343"
"13377","20491"
"64168","87951"
"29661","29539"
"60991","44913"
"81888","54157"
"67000","55029"
"20341","75653"
"44334","M2992"
"87142","25521"
"44913","57073"
"61689","12923"
"45678","68389"
"87656","59491"
"87656","07755"
"87656","91524"
"87656","88693"
"59491","07755"
"59491","91524"
"59491","88693"
"07755","91524"
"07755","88693"
"91524","88693"
"86269","83234"
"80933","76087"
"05414","88543"
"46114","23796"
"43738","31771"
"05861","46694"
"98140","45108"
"25617","54157"
"63053","69577"
"48368","98530"
"15678","81843"
"75214","26912"
"86206","55513"
"29613","76021"
"54386","05839"
"28643","23593"
"64050","97662"
"68213","97756"
"83402","23839"
"80909","89692"
"01864","36368"
"20338","49926"
"55267","84925"
"59187","70206"
"46335","66613"
"83591","88044"
"60642","87515"
"80919","55614"
"27885","92846"
"01548","60692"
"67649","91676"
"42181","55542"
"83145","62886"
"87244","36732"
"39116","81848"
"38098","30380"
"03870","55536"
"74556","76021"
"03886","93097"
"74269","83518"
"54546","26807"
"94730","64202"
"56456","46248"
"43384","75599"
"46310","45920"
"09201","91819"
"88632","24484"
"46334","98184"
"18456","29538"
"44827","07690"
"43707","45277"
"83402","00616"
"23792","74863"
"45920","87160"
"78387","86876"
"10524","31686"
"24827","88692"
"26175","22287"
"01977","10825"
"18456","87555"
"45920","90356"
"63094","45399"
"59491","87132"
"91836","45421"
"12719","51587"
"02342","59491"
"05306","81689"
"35911","64392"
"84863","56530"
"13172","58720"
"57906","91735"
"00644","M0392"
"59786","90231"
"46114","81689"
"87526","23592"
"65355","59491"
"29666","86344"
"74698","93097"
"78657","59491"
"86878","75766"
"78657","09126"
"41115","49302"
"78608","4764"
"17239","46114"
"81065","15883"
"08980","81824"
"83068","98975"
"97314","97651"
"63060","09266"
"71884","74488"
"43390","73325"
"44826","44819"
"93096","37193"
"88112","01077"
"48594","72940"
"62942","90581"
"14887","20755"
"63060","45920"
"80582","18956"
"80409","68428"
"68389","98832"
"74102","22226"
"65354","M2246"
"11443","80305"
"20269","25532"
"89039","91221"
"59491","46575"
"28642","01678"
"05226","64847"
"63127","17735"
"20730","05410"
"45920","52078"
"75156","65320"
"58976","80409"
"36957","99080"
"45618","44885"
"40420","92425"
"40420","31202"
"92425","31202"
"36065","92628"
"23191","00644"
