cusip1,cusip2
"98649","81988"
"93212","87796"
"45245","45194"
"55590","17243"
"8190","03825"
"62886","93160"
"55631","29220"
"23513","58457"
"46335","29951"
"89271","83127"
"29119","73879"
"75460","64223"
"01295","17737"
"89408","52659"
"68566","46115"
"09357","46779"
"38259","75530"
"47851","29555"
"00589","51940"
"23754","46345"
"13057","75462"
"81225","17225"
"13056","88005"
"04966","05755"
"18893","97651"
"73325","50562"
"4498","83128"
"39994","77110"
"13780","98440"
"18538","38259"
"60824","70486"
"74650","46612"
"50400","67124"
"28409","98195"
"02141","20626"
"79977","53015"
"53611","44744"
"87133","22357"
"56086","36654"
"67218","75466"
"45920","80305"
"29164","23847"
"88276","05189"
"23530","89072"
"03237","29212"
"23821","59497"
"75399","64230"
"92335","03728"
"59491","23821"
"00737","76298"
"83025","82167"
"27858","51825"
"31879","25224"
"93220","78581"
"87656","67231"
"54321","08980"
"23732","37505"
"60454","76320"
"60825","48062"
"25511","92391"
"25511","05459"
"92391","05459"
"23733","98121"
"02137","98660"
"36437","03248"
"87014","48523"
"46380","70977"
"05379","64026"
"03237","46787"
"69660","78874"
"77931","58745"
"62492","00554"
"83198","51950"
"19427","98794"
"64126","70980"
"29631","60825"
"92598","70977"
"93220","75840"
"82150","04033"
"46612","82995"
"28027","00925"
"31457","68371"
"09588","75431"
"19275","64113"
"59491","68389"
"59491","73325"
"68389","73325"
"91940","49332"
"36178","65774"
"38870","46790"
"87895","52078"
"86897","83711"
"20627","59470"
"81941","67127"
"88543","G9877"
"29459","66923"
"59093","86710"
"23798","93214"
"01280","45714"
"68131","24813"
"97167","65292"
"13027","88396"
"88522","19461"
"59470","72711"
"59491","78389"
"M2379","55628"
"92697","93101"
"75109","75053"
"59491","45920"
"98661","24879"
"74700","64221"
"46792","53814"
"27098","78872"
"29742","04320"
"62809","88394"
"77312","30451"
"56513","15228"
"64754","93226"
"76565","70469"
"39666","02073"
"64182","73875"
"80305","45094"
"59118","07856"
"86428","59034"
"72448","82826"
"27087","72205"
"63127","46284"
"29052","97362"
"89845","19079"
"64221","44758"
"87629","19244"
"30613","89192"
"68212","56752"
"89793","99158"
"67526","03258"
"13063","14747"
"28551","45495"
"05135","75479"
"68852","75572"
"88657","67231"
"51587","76322"
"46169","58654"
"40128","87150"
"42973","25566"
"42973","48528"
"25566","48528"
"66642","87796"
"10560","36041"
"17241","30447"
"13100","84906"
"98787","62809"
"67000","72782"
"10812","94851"
"69217","92603"
"67000","04966"
"48360","45920"
"88346","74619"
"59491","98545"
"71426","17007"
"79581","80305"
"77634","92730"
"09197","47210"
"54168","92598"
"19300","23847"
"73870","75663"
"73325","29497"
"30080","34971"
